solution,guesses,feedback
plein,"['canna', 'damps', 'outer', 'puked', 'gassy', 'favor']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
faked,"['lemon', 'furze', 'fiefs', 'faxes', 'faces', 'ftped']","[['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'present'], ['correct', 'absent', 'present', 'absent', 'absent'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['correct', 'absent', 'absent', 'correct', 'correct']]"
schwa,"['mound', 'elite', 'harpy', 'schwa']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
setup,"['cloud', 'gurus', 'zebus', 'harum', 'revue', 'rheum']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent']]"
outta,"['etude', 'shout', 'outta']","[['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
biked,"['easel', 'outer', 'photo', 'cower', 'gowns', 'scaly']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
poops,"['inapt', 'weeps', 'sumps', 'drops', 'rumps', 'coups']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
other,"['inter', 'toyer', 'other']","[['absent', 'absent', 'present', 'correct', 'correct'], ['present', 'present', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
coifs,"['pease', 'fulls', 'tiffs', 'boffs', 'coifs']","[['absent', 'absent', 'absent', 'present', 'absent'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
doers,"['flout', 'voids', 'dorms', 'doers']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'present', 'correct'], ['correct', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
ogled,"['moths', 'aloof', 'burro', 'bronc', 'ovule', 'inode']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'absent', 'absent', 'present', 'present'], ['absent', 'absent', 'present', 'present', 'present']]"
mount,"['lusty', 'uteri', 'gaunt', 'fount', 'mount']","[['absent', 'present', 'absent', 'present', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cusps,"['spics', 'copes', 'chaps', 'cusps']","[['present', 'present', 'absent', 'present', 'correct'], ['correct', 'absent', 'present', 'absent', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
winks,"['gulps', 'scars', 'nerfs', 'tanks', 'faces', 'reefs']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
gaits,"['cream', 'stats', 'fails', 'abbot', 'pawky', 'awful']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'present', 'correct', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent']]"
faker,"['leant', 'arose', 'pawer', 'hayer', 'maker', 'raker']","[['absent', 'present', 'present', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'present'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
cable,"['dotes', 'pyxie', 'ruche', 'cable']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
merse,"['hoers', 'serve', 'merse']","[['absent', 'absent', 'present', 'present', 'present'], ['present', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
trial,"['alums', 'valve', 'lycra', 'brawl', 'trial']","[['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'present', 'present'], ['absent', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pease,"['tamer', 'fecal', 'beaks', 'pease']","[['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
youse,"['sherd', 'gules', 'issue', 'cause', 'ensue', 'pause']","[['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'present'], ['absent', 'present', 'absent', 'present', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'present', 'present', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct']]"
hayed,"['swine', 'bevel', 'raked', 'model', 'egged', 'areal']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['present', 'absent', 'present', 'absent', 'absent']]"
warps,"['gluon', 'damps', 'hasps', 'tarps', 'carps', 'rasps']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['present', 'correct', 'absent', 'correct', 'correct']]"
honks,"['vaned', 'junks', 'oinks', 'honks']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['present', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
tripe,"['sooty', 'bract', 'trill', 'tried', 'tripe']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cross,"['clods', 'crows', 'crops', 'crocs', 'cross']","[['correct', 'absent', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
ropes,"['media', 'outer', 'pores', 'ropes']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'correct', 'present'], ['present', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
rodeo,"['boded', 'playa', 'biddy', 'frown', 'lipid', 'cushy']","[['absent', 'correct', 'correct', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
abode,"['topos', 'outer', 'antes', 'leaks', 'civet', 'whizz']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'present', 'absent'], ['correct', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
lefty,"['cooky', 'slyly', 'twiny', 'fisty', 'laxly', 'bigly']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct']]"
dumps,"['intro', 'damps', 'dumps']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
podgy,"['clays', 'yukky', 'pokey', 'booty', 'fudgy', 'henry']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
tuple,"['vails', 'lowly', 'whelk', 'quell', 'newly', 'knelt']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'correct', 'present', 'correct', 'absent'], ['absent', 'present', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'present']]"
muses,"['pansy', 'withs', 'books', 'gulfs', 'duces', 'muses']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
moron,"['wassa', 'blitz', 'goopy', 'rover', 'mound', 'domed']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['present', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent']]"
gecko,"['stein', 'laver', 'hedge', 'mebbe', 'degum', 'fugue']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present']]"
slued,"['tesla', 'biles', 'sleep', 'slued']","[['absent', 'present', 'present', 'present', 'absent'], ['absent', 'absent', 'present', 'correct', 'present'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
manse,"['nosey', 'dents', 'manse']","[['present', 'absent', 'present', 'present', 'absent'], ['absent', 'present', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bombe,"['sware', 'venue', 'belie', 'ledge', 'plebe', 'judge']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
blunt,"['honer', 'plank', 'sling', 'blunt']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
hamza,"['tetra', 'kappa', 'hamza']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
stone,"['payee', 'playa', 'alpha', 'swags', 'bawdy', 'junks']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present']]"
fakes,"['adder', 'gales', 'cafes', 'fazes', 'fates', 'faxes']","[['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct']]"
valid,"['ticks', 'blini', 'radio', 'imbed', 'laird', 'hairy']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'correct', 'present', 'correct', 'absent'], ['present', 'absent', 'absent', 'absent', 'correct'], ['present', 'correct', 'present', 'absent', 'correct'], ['absent', 'correct', 'present', 'absent', 'absent']]"
brook,"['annas', 'gored', 'bromo', 'broil', 'brook']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
raves,"['harms', 'rails', 'rasps', 'racks', 'rates', 'rands']","[['absent', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct']]"
intra,"['infra', 'intra']","[['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
heath,"['singe', 'caper', 'heavy', 'heath']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
seven,"['nards', 'shine', 'semen', 'seven']","[['present', 'absent', 'absent', 'absent', 'present'], ['correct', 'absent', 'absent', 'present', 'present'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
rains,"['fried', 'bairn', 'rains']","[['absent', 'present', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
ohhhh,"['cloud', 'motif', 'opera', 'ohhhh']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
roves,"['klutz', 'heirs', 'greps', 'robes', 'roses', 'roves']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'correct'], ['absent', 'present', 'present', 'absent', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pours,"['lungs', 'hours', 'tours', 'pours']","[['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
there,"['muses', 'pengo', 'rille', 'where', 'there']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
brush,"['washy', 'plush', 'brush']","[['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
lieth,"['giant', 'hilts', 'lieth']","[['absent', 'correct', 'absent', 'absent', 'present'], ['present', 'correct', 'present', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nomad,"['sware', 'uncap', 'lanai', 'natal', 'banal', 'ixnay']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['correct', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent']]"
okras,"['pings', 'sacks', 'oaths', 'faxes', 'moles', 'hafts']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'present', 'correct'], ['correct', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct']]"
sprit,"['retro', 'damps', 'outer', 'mower', 'bawdy', 'retch']","[['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'present'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent']]"
flack,"['colic', 'damps', 'outer', 'fetid', 'paras', 'cobra']","[['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'present']]"
canto,"['brief', 'playa', 'lawny', 'gaols', 'waltz', 'mynah']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent']]"
aired,"['jeeps', 'outer', 'field', 'paras', 'doggo', 'witch']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'correct', 'present', 'absent', 'correct'], ['absent', 'present', 'correct', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent']]"
sites,"['idyls', 'trims', 'fists', 'piths', 'vitas', 'situs']","[['present', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'present', 'present', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct']]"
snafu,"['halve', 'outta', 'unban', 'fraud', 'unary', 'squad']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['present', 'correct', 'absent', 'present', 'absent'], ['present', 'absent', 'correct', 'present', 'absent'], ['present', 'correct', 'correct', 'absent', 'absent'], ['correct', 'absent', 'present', 'present', 'absent']]"
stogy,"['puree', 'icons', 'ghost', 'stogy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'present'], ['present', 'absent', 'correct', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sines,"['gusts', 'damps', 'heels', 'weirs', 'cohos', 'looks']","[['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'present', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
swigs,"['betel', 'pumas', 'corks', 'highs', 'swigs']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
loins,"['villi', 'damps', 'frown', 'sways', 'bawdy', 'bumph']","[['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
piers,"['threw', 'lemur', 'adore', 'biers', 'viers', 'piers']","[['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
dyads,"['sixty', 'plays', 'years', 'dyads']","[['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'correct', 'present', 'correct'], ['present', 'absent', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
spiky,"['kiosk', 'outer', 'mondo', 'weans', 'oaken', 'bawdy']","[['present', 'present', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
salsa,"['mauls', 'salon', 'salsa']","[['absent', 'correct', 'absent', 'present', 'present'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cling,"['goats', 'weigh', 'ruing', 'dying', 'cling']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
robot,"['sally', 'frown', 'hoper', 'robot']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
craft,"['steak', 'waltz', 'tibia', 'craft']","[['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['present', 'absent', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
towns,"['tress', 'damps', 'frown', 'playa', 'hulky', 'outer']","[['correct', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'present', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent']]"
crack,"['paean', 'outer', 'igloo', 'scrub', 'bawdy', 'ledge']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
polis,"['plyer', 'phlox', 'polka', 'polio', 'polis']","[['correct', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
keels,"['dopes', 'wrens', 'stets', 'meets', 'ileus', 'chess']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'present', 'correct', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct']]"
bulge,"['barky', 'bough', 'budge', 'bulge']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'present', 'correct', 'absent'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
boule,"['raved', 'kebob', 'pesto', 'testy', 'helps', 'pulse']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'correct']]"
dotes,"['fovea', 'oozes', 'hones', 'dozen', 'doles', 'cores']","[['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
dough,"['midis', 'dozen', 'dorky', 'dough']","[['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
camel,"['minas', 'campy', 'cameo', 'camel']","[['present', 'absent', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sorta,"['frier', 'outer', 'urges', 'tacet', 'waltz', 'whizz']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'present'], ['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
rifts,"['pipet', 'titan', 'tinny', 'gifts', 'fisty', 'fitly']","[['absent', 'correct', 'absent', 'absent', 'present'], ['present', 'correct', 'absent', 'absent', 'absent'], ['present', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['present', 'correct', 'present', 'correct', 'absent'], ['present', 'correct', 'present', 'absent', 'absent']]"
roved,"['rated', 'rived', 'roved']","[['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
